name,smol,best_recs,upcom
Ken's Donuts,0,"['Einstein Bros Bagels', 'Shipley Do-Nuts', 'Donut 7', 'Tiny House Coffee']","['Shipley Donuts', 'Cannon Coffee', 'Sweetwaters Coffee & Tea Texas Capitol', 'Tiny House Coffee', 'Me So Poke']"
Small Victory,0,"['Casino South Side Lounge', 'Shangri-La', '77 Degrees Rooftop', 'The Lost Well']","[""C-Hunt's Icehouse"", 'The Lost Well', 'Twin Creeks Hall', 'Latchkey', 'The Market and Tap Room']"
Dave's Perfection Automotive,1,"['Q Automotive & Body Shop', ""Ben's Workshop"", ""Paul's Motor Werks"", 'Redline Automotive & Marine', 'Allstate Brake & Automotive']","['Acm Auto Service', 'Dr. Beemer', 'Q Automotive & Body Shop', ""Brownie's Automotive""]"
Sanova Dermatology - North Austin,0,"['Ideal Image South Austin', 'Aesthetica MedSpa', 'Personique On The Spot', 'Devenir Aesthetics']","['Personique On The Spot', 'Devenir Aesthetics', 'Westlake Dermatology & Cosmetic Surgery - North Austin', 'Austin Dermatology & Vein', 'Rocco C Piazza, MD, FACS']"
Sip Saam Thai,0,"['Spoon & Fork Kitchen', ""Sap's Ver Fine Thai Cuisine"", 'E-San Thai Food', ""Madam Mam's Thai Cuisine - Austin""]","['Little Thailand', 'Pizzeria Grata', 'BANTHAI Express', 'Thai-Licious', 'Conscious Cravings']"
International School of Texas,1,"['Twin Oaks Montessori School', 'Primrose School of Four Points', 'Redeemer School', ""Child's Day""]","['Twin Oaks Montessori School', 'Growing Tree', 'Primrose School of Four Points', ""Child's Day""]"
Bluebonnet Limos & Wine Tours,1,"['Discover Texas Wine Tours', ""L'Avventura Dolce"", 'Ace Limo’s', ""Alvin's limousine""]","['Discover Texas Wine Tours', ""L'Avventura Dolce"", 'Deer Run Chauffeur Service', ""Alvin's limousine""]"
PURE Yoga Texas - South Austin,1,"['Gym Studios', 'barre3 Austin - Downtown', 'Sculpted Physiques By Leila', 'PURE Yoga Texas - Downtown Austin']","['Gym Studios', 'barre3 Austin - Downtown', 'Sculpted Physiques By Leila', 'PURE Yoga Texas - Downtown Austin']"
Kinetic Fit Systems,1,"['David King Fitness', 'Practical Fitness', 'Westlake CrossFit', 'Diana Haggerty']","['David King Fitness', 'Practical Fitness', 'Westlake CrossFit', 'Diana Haggerty']"
PostNet,1,"['A Star Signs & Printing', 'FedEx Office Print & Ship Center', 'FedEx Office Print & Ship Center', 'FedEx Office Print & Ship Center']","['A Star Signs & Printing', 'FedEx Office Print & Ship Center', 'Printing Solutions', 'The UPS Store']"
